class,precision,recall,f1,support
resolution_exact,0.14285714285714285,0.1111111111111111,0.125,18
dimensions,0.5675675675675675,0.6363636363636364,0.6,33
UNKNOWN,0.7883211678832117,0.8925619834710744,0.8372093023255814,121
memory_storage,0.9829268292682927,0.9372093023255814,0.9595238095238096,430
power,0.9444444444444444,0.9855072463768116,0.9645390070921985,69
volume,0.9649122807017544,1.0,0.9821428571428571,55
weight,1.0,0.9834710743801653,0.9916666666666667,121
size,0.9859154929577465,1.0,0.9929078014184397,140
connectivity,1.0,0.9864864864864865,0.9931972789115646,74
resolution_standard,1.0,1.0,1.0,10
current,1.0,1.0,1.0,9
frequency,1.0,1.0,1.0,14
voltage,1.0,1.0,1.0,13
time,1.0,1.0,1.0,6
