class,precision,recall,f1,support
resolution_exact,0.16666666666666666,0.05555555555555555,0.08333333333333333,18
UNKNOWN,0.7477477477477478,0.6859504132231405,0.7155172413793104,121
dimensions,0.6222222222222222,0.8484848484848485,0.717948717948718,33
memory_storage,0.9225512528473804,0.9418604651162791,0.9321058688147296,430
power,0.9714285714285714,0.9855072463768116,0.9784172661870504,69
volume,0.9818181818181818,0.9818181818181818,0.9818181818181818,55
connectivity,1.0,0.9864864864864865,0.9931972789115646,74
size,0.9929078014184397,1.0,0.99644128113879,140
resolution_standard,1.0,1.0,1.0,10
frequency,1.0,1.0,1.0,14
current,1.0,1.0,1.0,9
time,1.0,1.0,1.0,6
voltage,1.0,1.0,1.0,13
weight,1.0,1.0,1.0,121
