class,precision,recall,f1,support
resolution_exact,0.125,0.05555555555555555,0.07692307692307693,18
dimensions,0.5952380952380952,0.7575757575757576,0.6666666666666666,33
UNKNOWN,0.7699115044247787,0.71900826446281,0.7435897435897436,121
memory_storage,0.9356321839080459,0.9465116279069767,0.9410404624277456,430
current,1.0,0.8888888888888888,0.9411764705882353,9
power,0.9315068493150684,0.9855072463768116,0.9577464788732394,69
volume,0.9818181818181818,0.9818181818181818,0.9818181818181818,55
weight,0.9916666666666667,0.9834710743801653,0.9875518672199171,121
size,0.9790209790209791,1.0,0.9893992932862191,140
connectivity,1.0,0.9864864864864865,0.9931972789115646,74
resolution_standard,1.0,1.0,1.0,10
frequency,1.0,1.0,1.0,14
voltage,1.0,1.0,1.0,13
time,1.0,1.0,1.0,6
