class,precision,recall,f1,support
color,1.0,1.0,1.0,201
connectivity,1.0,0.9090909090909091,0.9523809523809523,55
current,1.0,0.875,0.9333333333333333,8
dimensions,1.0,0.7083333333333334,0.8292682926829268,24
frequency,0.9333333333333333,1.0,0.9655172413793104,14
memory_storage,0.9873015873015873,1.0,0.9936102236421726,311
power,0.9841269841269841,1.0,0.992,62
resolution_standard,1.0,1.0,1.0,10
size,0.9565217391304348,1.0,0.9777777777777777,132
time,1.0,0.8333333333333334,0.9090909090909091,6
voltage,0.6666666666666666,1.0,0.8,12
volume,0.9607843137254902,1.0,0.98,49
weight,1.0,0.968421052631579,0.983957219251337,95
UNKNOWN,0.9166666666666666,0.8627450980392157,0.8888888888888888,51
