class,precision,recall,f1,support
PlayStation,0.75,0.75,0.75,4
Electrolux,0.6666666666666666,1.0,0.8,20
UNKNOWN,0.8148148148148148,0.7882736156351792,0.8013245033112583,614
NO_BRAND,0.884263959390863,0.7406462585034014,0.8061082832022212,1176
Rapid,0.7142857142857143,1.0,0.8333333333333334,5
Ballu,0.7222222222222222,1.0,0.8387096774193549,13
Krona,0.7222222222222222,1.0,0.8387096774193549,13
Redmond,0.7692307692307693,1.0,0.8695652173913043,20
Bosch,0.7761194029850746,1.0,0.8739495798319328,52
Hi,0.7777777777777778,1.0,0.875,21
Grundig,0.7777777777777778,1.0,0.875,7
Ariston,0.7777777777777778,1.0,0.875,7
Kuppersberg,0.7954545454545454,1.0,0.8860759493670886,35
Centek,0.8,1.0,0.8888888888888888,12
Deppa,0.8,1.0,0.8888888888888888,12
Scarlett,0.8,1.0,0.8888888888888888,4
Candy,0.8205128205128205,1.0,0.9014084507042254,32
Gorenje,0.8301886792452831,1.0,0.9072164948453608,88
ATLANT,0.8333333333333334,1.0,0.9090909090909091,10
Beko,0.8372093023255814,1.0,0.9113924050632911,36
Polaris,0.84375,1.0,0.9152542372881356,27
Indesit,0.8461538461538461,1.0,0.9166666666666666,33
TalleR,0.8571428571428571,1.0,0.9230769230769231,6
Gefest,0.8571428571428571,1.0,0.9230769230769231,24
BQ,0.8571428571428571,1.0,0.9230769230769231,6
DeLonghi,0.8611111111111112,1.0,0.9253731343283582,31
Carrera,0.8620689655172413,1.0,0.9259259259259259,25
Karcher,0.8636363636363636,1.0,0.926829268292683,19
Kingston,0.875,1.0,0.9333333333333333,7
DEMIAND,0.875,1.0,0.9333333333333333,14
Philips,0.8775510204081632,1.0,0.9347826086956522,43
JBL,0.9032258064516129,0.9824561403508771,0.9411764705882353,57
Baseus,0.8928571428571429,1.0,0.9433962264150944,25
Midea,0.8928571428571429,1.0,0.9433962264150944,50
Sony,0.9148936170212766,0.9772727272727273,0.945054945054945,44
Dreame,0.8961038961038961,1.0,0.9452054794520548,69
Hisense,0.9130434782608695,1.0,0.9545454545454546,84
Logitech,0.9142857142857143,1.0,0.9552238805970149,32
Tefal,0.9150943396226415,1.0,0.9556650246305419,97
Яндекс,0.9204545454545454,1.0,0.9585798816568047,81
Moulinex,0.9230769230769231,1.0,0.96,12
LG,0.9245283018867925,1.0,0.9607843137254902,98
Thunderobot,0.9333333333333333,1.0,0.9655172413793104,14
Sber,0.9375,1.0,0.967741935483871,15
Braun,0.9459459459459459,1.0,0.9722222222222222,35
MSI,0.9696969696969697,1.0,0.9846153846153847,32
Haier,0.9900990099009901,0.9803921568627451,0.9852216748768473,204
Apple,0.980544747081712,0.9940828402366864,0.9872673849167483,507
TCL,0.9821428571428571,1.0,0.990990990990991,55
ASUS,0.9871794871794872,1.0,0.9935483870967742,77
Samsung,0.9984472049689441,0.9953560371517027,0.9968992248062015,646
Xiaomi,1.0,0.9973333333333333,0.9986648865153538,375
Brayer,1.0,1.0,1.0,11
Infinix,1.0,1.0,1.0,23
HONOR,1.0,1.0,1.0,141
HUAWEI,1.0,1.0,1.0,255
Oasis,1.0,1.0,1.0,4
Pantum,1.0,1.0,1.0,10
Maunfeld,1.0,1.0,1.0,20
Kitfort,1.0,1.0,1.0,40
Rowenta,1.0,1.0,1.0,15
Atvel,1.0,1.0,1.0,7
Canon,1.0,1.0,1.0,26
Dyson,1.0,1.0,1.0,30
realme,1.0,1.0,1.0,38
Toshiba,1.0,1.0,1.0,30
Tecno,1.0,1.0,1.0,35
