class,precision,recall,f1,support
PlayStation,1.0,0.25,0.4,4
Electrolux,0.85,0.85,0.85,20
UNKNOWN,0.9328214971209213,0.7915309446254072,0.8563876651982378,614
NO_BRAND,0.8497615262321144,0.9090136054421769,0.8783894823336073,1176
Krona,0.9166666666666666,0.8461538461538461,0.88,13
Rapid,1.0,0.8,0.8888888888888888,5
Candy,0.8571428571428571,0.9375,0.8955223880597015,32
Gefest,0.88,0.9166666666666666,0.8979591836734694,24
Beko,0.8717948717948718,0.9444444444444444,0.9066666666666666,36
TalleR,1.0,0.8333333333333334,0.9090909090909091,6
Moulinex,1.0,0.8333333333333334,0.9090909090909091,12
Centek,1.0,0.8333333333333334,0.9090909090909091,12
Midea,0.9019607843137255,0.92,0.9108910891089109,50
Hi,1.0,0.8571428571428571,0.9230769230769231,21
Atvel,1.0,0.8571428571428571,0.9230769230769231,7
Bosch,0.9074074074074074,0.9423076923076923,0.9245283018867925,52
Karcher,0.8636363636363636,1.0,0.926829268292683,19
Gorenje,0.9032258064516129,0.9545454545454546,0.9281767955801105,88
JBL,0.9454545454545454,0.9122807017543859,0.9285714285714286,57
Kuppersberg,0.8947368421052632,0.9714285714285714,0.9315068493150684,35
Kingston,0.875,1.0,0.9333333333333333,7
Philips,0.9318181818181818,0.9534883720930233,0.9425287356321839,43
Tefal,0.9479166666666666,0.9381443298969072,0.9430051813471503,97
Baseus,0.8928571428571429,1.0,0.9433962264150944,25
Maunfeld,1.0,0.9,0.9473684210526315,20
Dreame,0.9558823529411765,0.9420289855072463,0.948905109489051,69
LG,0.9313725490196079,0.9693877551020408,0.95,98
Redmond,0.9090909090909091,1.0,0.9523809523809523,20
Brayer,1.0,0.9090909090909091,0.9523809523809523,11
DeLonghi,0.9375,0.967741935483871,0.9523809523809523,31
Sony,0.9545454545454546,0.9545454545454546,0.9545454545454546,44
Deppa,1.0,0.9166666666666666,0.9565217391304348,12
Carrera,0.9259259259259259,1.0,0.9615384615384616,25
DEMIAND,1.0,0.9285714285714286,0.9629629629629629,14
Яндекс,0.9411764705882353,0.9876543209876543,0.963855421686747,81
Hisense,0.9642857142857143,0.9642857142857143,0.9642857142857143,84
Sber,1.0,0.9333333333333333,0.9655172413793104,15
Logitech,0.9411764705882353,1.0,0.9696969696969697,32
Indesit,0.9428571428571428,1.0,0.9705882352941176,33
Kitfort,1.0,0.95,0.9743589743589743,40
Canon,1.0,0.9615384615384616,0.9803921568627451,26
TCL,0.9818181818181818,0.9818181818181818,0.9818181818181818,55
Haier,1.0,0.9852941176470589,0.9925925925925926,204
HONOR,1.0,0.9858156028368794,0.9928571428571429,141
Apple,0.9901960784313726,0.9960552268244576,0.9931170108161259,507
ASUS,1.0,0.987012987012987,0.9934640522875817,77
Samsung,0.9984496124031008,0.9969040247678018,0.9976762199845082,646
Xiaomi,1.0,0.9973333333333333,0.9986648865153538,375
Infinix,1.0,1.0,1.0,23
HUAWEI,1.0,1.0,1.0,255
Grundig,1.0,1.0,1.0,7
Dyson,1.0,1.0,1.0,30
Ballu,1.0,1.0,1.0,13
BQ,1.0,1.0,1.0,6
MSI,1.0,1.0,1.0,32
Pantum,1.0,1.0,1.0,10
Oasis,1.0,1.0,1.0,4
Scarlett,1.0,1.0,1.0,4
Polaris,1.0,1.0,1.0,27
Rowenta,1.0,1.0,1.0,15
Tecno,1.0,1.0,1.0,35
Ariston,1.0,1.0,1.0,7
ATLANT,1.0,1.0,1.0,10
Braun,1.0,1.0,1.0,35
realme,1.0,1.0,1.0,38
Toshiba,1.0,1.0,1.0,30
Thunderobot,1.0,1.0,1.0,14
