query,sku_id,sku_name,sku_brand_name,sku_position,sku_price,candidate_source,pair_id,label,confidence,notes,annotator,labeled_at
сушильные машины,400041045,Сушильная машина Grundig GT55724,Grundig,1,70560.0,top_position,5136091039053738175,,,,,
Беговая дорожка,400364521,,,0,19836.0,top_position,4622609759802187312,,,,,
Блендер,400432934,,,0,3824.0,top_position,3730097647638341610,,,,,
Honor,30081799,"Восстановленный смартфон HONOR X8b 8/128GB Black, хороший",HONOR,3,8369.0,top_position,1727701504916189451,,,,,
Вытяжки кухонные встраиваемая,400152920,,,0,9999.0,top_position,234779613171118154,,,,,
Телевизор,400475538,,,0,71999.0,top_position,2590530355845536621,,,,,
робот стеклоочиститель,400388725,Робот-стеклоочиститель Atvel Zorro Z4,Atvel,3,6754.0,top_position,5666299742762453909,,,,,
Холодильники,400473843,,,0,55860.0,top_position,8967837565772252026,,,,,
стиральная машинка узкая,20086611,,,0,46479.0,top_position,4568097953068696552,,,,,
Rtx 5070,400535385,Видеокарта Palit RTX 5070 INFINITY 3 12GB (NE75070019K9-GB2050S),Palit,1,55745.0,top_position,5398981737349898525,,,,,
Планшеты samsung,30072023,,,0,24979.0,top_position,4362038434739780374,,,,,
Шуруповерт аккумуляторный,4061722,,,0,3829.0,top_position,9123760708873784427,,,,,
Водонагреватель,400050529,,,0,9699.0,top_position,7173388838945906390,,,,,
Беспроводная мышь,400128301,,,0,12609.0,top_position,9105144412094593859,,,,,
Термопот,400223946,,,0,7175.0,top_position,1223397754340527705,,,,,
Airpods pro 3,400508829,,,0,21136.0,top_position,8954453993318826893,,,,,
кофе в зернах,400577735,,,0,3059.0,top_position,3412751279965694870,,,,,
утюг,400513757,Утюг Mie D4,,2,1997.0,top_position,3448208873443416058,,,,,
Морозильный ларь,400458877,,,0,36699.0,top_position,3626522183863825134,,,,,
Ноутбук honor magicbook x16,400260388,,,0,62999.0,top_position,595530095700685468,,,,,
графический планшет,400502999,,,0,27244.0,top_position,6716865979391684408,,,,,
телефон айфон,30069420,Смартфон Apple iPhone 15 128GB Black (без RuStore),Apple,3,57649.0,top_position,8101676138803559630,,,,,
монитор для компьютера,400326247,"Монитор Xiaomi 23.8""/IPS/1920x1080/100Гц/черный (A24i EU)",Xiaomi,3,6018.0,top_position,1655391173077752416,,,,,
Аэрогриль,400469327,,,0,5700.0,top_position,7715004818030662871,,,,,
Электрические чайники,400369131,,,0,1113.0,top_position,2265019395336188323,,,,,
вытяжки кухонные встраиваемая,400056120,Вытяжка плоская Oasis PО - 50W,Oasis,2,2803.0,top_position,7392931334434041623,,,,,
ipad,400710033,,,0,63370.0,top_position,3531333885919809818,,,,,
Игровые ноутбуки,400481121,,,0,116999.0,top_position,8147698098502817814,,,,,
телевизор 55,400496982,,,0,32399.0,top_position,4081749912127480945,,,,,
Apple mac ноутбук,4253127,,,0,79999.0,top_position,8066169874925020556,,,,,
Накопительные водонагреватели 80л,400321774,,,0,15525.0,top_position,4211034278961220252,,,,,
иви,6019646,Онлайн-кинотеатр Иви 4 месяца,ИВИ,1,400.0,top_position,8027673085367607122,,,,,
Стиральная машинка узкая,20056207,,,0,20999.0,top_position,2973876763269882426,,,,,
Ps5,400502004,,,0,68706.0,top_position,8331044328347123902,,,,,
узкие стиральные машины,400054867,,,0,19101.0,top_position,6057181898430558565,,,,,
Напольный кондиционер,400438914,,,0,26969.0,top_position,8043812562597394743,,,,,
микроволновая печь,4258447,,,0,4319.0,top_position,7962059754686776335,,,,,
компьютерный стол,400794661,Стол письменный Мебель-Комплекс Стол письменный компьютерный с тумбой,Мебель-Комплекс,2,2616.0,top_position,8553068620932823877,,,,,
Вертикальный моющий пылесос,4203243,,,0,13791.0,top_position,3551865105867549041,,,,,
Автомобиль,400686921,,,0,850000.0,top_position,5601435973235487410,,,,,
часы,400515153,Смарт-часы Apple Watch S11 46mm Milanese Loop,Apple,2,93301.0,top_position,1338580282049207007,,,,,
встраиваемая микроволновая печь,400047633,Встраиваемая микроволновая печь Kuppersberg HMW 625 B,Kuppersberg,1,20606.0,top_position,5500008257961360187,,,,,
Вытяжки кухонные встраиваемая,400472137,,,0,9703.0,top_position,1051913096207112918,,,,,
встраиваемая варочная панель газовая,4201332,Встраиваемая газовая панель независимая HOMSAir HGE433TGCBK,,2,10704.0,top_position,4164874996419569045,,,,,
кондиционер сплит система,20093925,Умная сплит-система (инверторная) LG D12TT,LG,2,67826.0,top_position,6462244446984611404,,,,,
микроволновые печи,400391623,,,0,5960.0,top_position,1216309819450298567,,,,,
стиральная машинка 7 LG,20095614,Стиральная машина с сушкой LG F2V3FR6W,LG,2,48301.0,top_position,8450643644276965112,,,,,
Комод,400603918,Комод ОРИНОКО 3507,ОРИНОКО,3,7385.0,top_position,3707018719572295521,,,,,
Робот пылесос,20090360,,,0,15519.0,top_position,4123880928342749890,,,,,
парогенератор tefal,400495011,,,0,27887.0,top_position,6626004848225183621,,,,,
Встраиваемые посудомоечные машины,20070500,,,0,36999.0,top_position,4499603535398864203,,,,,
Наушники беспроводные,4254143,,,0,3514.0,top_position,9011989415623783968,,,,,
Погружные блендеры,400477682,,,0,2699.0,top_position,8243087086829324760,,,,,
Наушники беспроводные,400518394,,,0,819.0,top_position,3195429223257247660,,,,,
Сушильная машина beko,400211245,,,0,43999.0,top_position,7230840901721170441,,,,,
Airpods,4253317,,,0,17639.0,top_position,1054303943670324802,,,,,
Наушники,400509580,,,0,2499.0,top_position,4372099580203853997,,,,,
redmi 15,400522553,Смартфон Xiaomi REDMI Note 15 Pro 5G 8/256GB Mist пурпурный,,0,28990.0,top_position,7427852513819925848,,,,,
встраиваемые посудомоечные машины,4140864,,,0,54622.0,top_position,6430800750233358755,,,,,
встраиваемые посудомоечные машины 60см,400393610,Встраиваемая посудомоечная машина Beko BDIS25063,Beko,1,31019.0,top_position,7559318508525796516,,,,,
