# Явные алиасы: кириллическая транслитерация -> канон (латиница/устоявшееся написание).
# Формат: canonical\talias1,alias2,...  (règex/edit-distance тут не при чём — просто список).
# Нужны там, где кириллица и латиница НЕ похожи по буквам (транслитерация "на слух"),
# поэтому обычный fuzzy-Левенштейн (spellfix.py) их не поймает.
sony	сони
playstation	плейстейшен,плейстейшн,плойстейшн,плейстешн,плэйстейшн
xiaomi	ксяоми,сяоми,ксиаоми,шаоми,хiaomi
samsung	самсунг,самсунк,семсунг
apple	эпл,эппл,епл
iphone	айфон,айфончик
huawei	хуавей,хуавэй,хуавей
xbox	иксбокс,эксбокс,икс бокс
nintendo	нинтендо
lenovo	леново
acer	эйсер,асер
dell	делл,дэлл
hp	эйчпи,хьюлеттпаккард
canon	кэнон
nikon	никон
bosch	бош
jbl	джибиэль,джей би эль
gopro	гоупро,го про
oneplus	ванплюс,один плюс
realme	реалми,риалми
oppo	оппо
vivo	виво
tcl	тэсэл
haier	хайер,хаер
midea	мидеа,мидея
electrolux	электролюкс
