suite,repeat,query,ok,server_ms,client_ms,brand,category,model,n_entities,n_spell_fixes,error
demo_easy,0,samsung,True,2.704,6.253,Samsung,,,1,0,
demo_easy,0,пылесос,True,12.067,14.394,,пылесос,,1,0,
demo_easy,0,геймпад xbox,True,5.151,7.279,Xbox,геймпад,,2,0,
demo_easy,0,nintendo switch 2,True,29.139,31.423,Nintendo,,switch 2,2,0,
demo_easy,0,телевизоры haier 50,True,8.168,10.158,Haier,телевизоры,,2,0,
demo_easy,1,samsung,True,2.543,4.858,Samsung,,,1,0,
demo_easy,1,пылесос,True,12.564,14.875,,пылесос,,1,0,
demo_easy,1,геймпад xbox,True,5.55,7.725,Xbox,геймпад,,2,0,
demo_easy,1,nintendo switch 2,True,28.3,30.558,Nintendo,,switch 2,2,0,
demo_easy,1,телевизоры haier 50,True,8.243,10.515,Haier,телевизоры,,2,0,
demo_easy,2,samsung,True,2.44,4.599,Samsung,,,1,0,
demo_easy,2,пылесос,True,13.424,15.724,,пылесос,,1,0,
demo_easy,2,геймпад xbox,True,5.409,8.685,Xbox,геймпад,,2,0,
demo_easy,2,nintendo switch 2,True,29.128,31.702,Nintendo,,switch 2,2,0,
demo_easy,2,телевизоры haier 50,True,9.469,11.597,Haier,телевизоры,,2,0,
demo_medium,0,телевизор samsung 55 дюймов,True,40.419,43.016,Samsung,телевизоры,,3,0,
demo_medium,0,ноутбук asus 16 гб,True,18.87,21.295,ASUS,ноутбуки,,3,0,
demo_medium,0,смартфон xiaomi 128gb,True,11.54,13.796,Xiaomi,смартфон,128 gb,3,1,
demo_medium,0,пылесос dyson v15,True,14.314,16.491,Dyson,пылесос,v15,3,0,
demo_medium,0,холодильник indesit no frost,True,25.087,27.991,Indesit,холодильники,,2,0,
demo_medium,0,наушники jbl tune 510,True,20.36,23.024,JBL,наушники,tune 510,3,0,
demo_medium,0,стиральная машина bosch 8 кг,True,43.067,45.106,Bosch,стиральная машинка,,3,1,
demo_medium,0,монитор lg 27,True,6.854,8.436,LG,мониторы,,2,0,
demo_medium,0,планшет samsung tab s9,True,11.441,13.35,Samsung,планшеты,,2,0,
demo_medium,0,чайник redmond,True,6.453,8.542,Redmond,чайник,,2,0,
demo_medium,1,телевизор samsung 55 дюймов,True,40.342,42.478,Samsung,телевизоры,,3,0,
demo_medium,1,ноутбук asus 16 гб,True,17.522,19.733,ASUS,ноутбуки,,3,0,
demo_medium,1,смартфон xiaomi 128gb,True,11.044,13.508,Xiaomi,смартфон,128 gb,3,1,
demo_medium,1,пылесос dyson v15,True,7.817,9.838,Dyson,пылесос,v15,3,0,
demo_medium,1,холодильник indesit no frost,True,28.12,30.181,Indesit,холодильники,,2,0,
demo_medium,1,наушники jbl tune 510,True,19.524,21.908,JBL,наушники,tune 510,3,0,
demo_medium,1,стиральная машина bosch 8 кг,True,46.021,48.5,Bosch,стиральная машинка,,3,1,
demo_medium,1,монитор lg 27,True,8.005,10.51,LG,мониторы,,2,0,
demo_medium,1,планшет samsung tab s9,True,10.723,13.176,Samsung,планшеты,,2,0,
demo_medium,1,чайник redmond,True,5.551,7.79,Redmond,чайник,,2,0,
demo_medium,2,телевизор samsung 55 дюймов,True,38.789,41.011,Samsung,телевизоры,,3,0,
demo_medium,2,ноутбук asus 16 гб,True,17.489,19.669,ASUS,ноутбуки,,3,0,
demo_medium,2,смартфон xiaomi 128gb,True,11.483,13.996,Xiaomi,смартфон,128 gb,3,1,
demo_medium,2,пылесос dyson v15,True,8.298,10.387,Dyson,пылесос,v15,3,0,
demo_medium,2,холодильник indesit no frost,True,24.505,26.451,Indesit,холодильники,,2,0,
demo_medium,2,наушники jbl tune 510,True,18.403,21.037,JBL,наушники,tune 510,3,0,
demo_medium,2,стиральная машина bosch 8 кг,True,40.736,42.91,Bosch,стиральная машинка,,3,1,
demo_medium,2,монитор lg 27,True,9.307,11.447,LG,мониторы,,2,0,
demo_medium,2,планшет samsung tab s9,True,13.31,15.373,Samsung,планшеты,,2,0,
demo_medium,2,чайник redmond,True,4.721,6.666,Redmond,чайник,,2,0,
demo_hard,0,телфон 16 гь,True,50.05,53.321,,телефоны,,2,2,
demo_hard,0,сони плейстейшен 5,True,6.764,8.984,Sony,,,2,2,
demo_hard,0,ноутбок asus 16гь,True,44.175,46.415,ASUS,ноутбуки,,3,2,
demo_hard,0,планше тxiaomi,True,53.199,55.53,Xiaomi,планшеты,,2,2,
demo_hard,0,айфон 16 про макс,True,23.963,26.114,Apple,,,1,1,
demo_hard,0,лэптоп ксяоми редми,True,47.123,49.37,Xiaomi,,,2,1,
demo_hard,0,playstation5 sony slim,True,25.026,27.121,PlayStation,,,2,1,
demo_hard,0,тв самсунг 65 4k,True,13.34,15.46,Samsung,тв,4 k,3,1,
demo_hard,0,морозилка индесит 200л,True,62.467,64.552,,морозилка,,2,0,
demo_hard,0,х0лодильник bosch,True,25.62,28.071,Bosch,холодильники,,2,1,
demo_hard,1,телфон 16 гь,True,51.199,53.391,,телефоны,,2,2,
demo_hard,1,сони плейстейшен 5,True,7.638,9.754,Sony,,,2,2,
demo_hard,1,ноутбок asus 16гь,True,51.577,53.699,ASUS,ноутбуки,,3,2,
demo_hard,1,планше тxiaomi,True,50.855,53.56,Xiaomi,планшеты,,2,2,
demo_hard,1,айфон 16 про макс,True,19.881,21.756,Apple,,,1,1,
demo_hard,1,лэптоп ксяоми редми,True,45.951,47.912,Xiaomi,,,2,1,
demo_hard,1,playstation5 sony slim,True,26.287,28.409,PlayStation,,,2,1,
demo_hard,1,тв самсунг 65 4k,True,15.058,17.114,Samsung,тв,4 k,3,1,
demo_hard,1,морозилка индесит 200л,True,61.226,63.627,,морозилка,,2,0,
demo_hard,1,х0лодильник bosch,True,22.053,24.152,Bosch,холодильники,,2,1,
demo_hard,2,телфон 16 гь,True,49.007,51.075,,телефоны,,2,2,
demo_hard,2,сони плейстейшен 5,True,7.005,9.179,Sony,,,2,2,
demo_hard,2,ноутбок asus 16гь,True,49.959,52.121,ASUS,ноутбуки,,3,2,
demo_hard,2,планше тxiaomi,True,59.885,62.284,Xiaomi,планшеты,,2,2,
demo_hard,2,айфон 16 про макс,True,23.341,26.039,Apple,,,1,1,
demo_hard,2,лэптоп ксяоми редми,True,48.613,51.008,Xiaomi,,,2,1,
demo_hard,2,playstation5 sony slim,True,26.326,28.566,PlayStation,,,2,1,
demo_hard,2,тв самсунг 65 4k,True,15.424,17.493,Samsung,тв,4 k,3,1,
demo_hard,2,морозилка индесит 200л,True,64.804,66.945,,морозилка,,2,0,
demo_hard,2,х0лодильник bosch,True,25.106,27.13,Bosch,холодильники,,2,1,
gold,0,redmi a5,True,4.772,6.87,Xiaomi,,,1,0,
gold,0,Телевизор tcl 65 c8k,True,20.237,22.498,TCL,телевизоры,,2,0,
gold,0,Крышка для свч,True,44.393,46.573,,свч,,1,0,
gold,0,душевая перегородка,True,66.992,69.639,,душевой,,1,0,
gold,0,Гигиенический душ,True,25.94,28.589,,Гигиенический,,1,0,
gold,0,игровые пк,True,47.491,49.881,,игровые пк,,1,0,
gold,0,Утюг филипс,True,44.316,46.519,,утюг,,1,0,
gold,0,Для смузи,True,41.429,43.678,,,,1,0,
gold,0,Стиральная машина глубина 40,True,120.67,124.513,,стиральная машинка,,1,1,
gold,0,варочная панель midea,True,12.815,16.278,Midea,варочная панель,,2,0,
gold,0,Honor magic8 pro,True,51.058,53.868,HONOR,,magic8 pro,2,0,
gold,0,ксиоми17,True,61.48,64.477,,,,0,0,
gold,0,Провод для зарядки iphone,True,119.511,122.163,Apple,зарядка,,2,1,
gold,0,карера кофемашина,True,45.522,48.452,,камера,,2,1,
gold,0,соединительный элемент для сушильных машин haier,True,105.739,108.543,Haier,сушильная машина,,2,0,
gold,0,и светильники потолочные светодиодные,True,85.549,87.466,,светильник потолочный,,1,0,
gold,0,на iphone 17 pro max,True,35.896,38.309,Apple,iphone 17pro,17 pro,4,0,
gold,0,смартфон xiaomi redmi note 15 pro 5g телефон,True,35.273,37.589,Xiaomi Redmi,смартфон,note 15 pro 5,4,0,
gold,0,Клавиатура игровая,True,49.935,52.377,,клавиатура игровая,,1,0,
gold,0,asus tuf gaming 5070,True,32.137,34.061,ASUS,,tuf gaming,2,0,
gold,0,Аккумуляторная цепная пила Sturm! CSC1204C,True,109.238,111.47,Sturm!,цепная пила,!! CSC1204 C,3,1,
gold,0,Наушники True Wireless,True,16.045,18.105,Wireless,наушники,,2,0,
gold,0,Микроволновая печь samsung,True,17.78,20.587,Samsung,микроволновая печь,,2,0,
gold,0,Mesh системы,True,45.474,47.621,Mesh,,,1,0,
gold,0,Стиральная машина Indesit,True,32.609,35.295,Indesit,стиральная машинка,,2,1,
gold,0,газовая духовка,True,50.024,52.084,,духовка,,2,0,
gold,0,Bluetooth на наушники,True,48.946,50.953,,наушники,,2,0,
gold,0,кухонный робот,True,51.739,53.808,,робот,,2,0,
gold,0,увлажнитель,True,12.041,14.22,,увлажнитель,,1,0,
gold,0,iphone 15 плюс,True,39.765,41.804,Apple,,,1,0,
gold,0,Арктика,True,2.14,4.002,Арктика,,,1,0,
gold,0,Эпилятор браун silk epil 9,True,59.329,61.495,,эпиляторы,silk epil,2,0,
gold,0,зарядное устройство базеус,True,97.15,99.294,,зарядное устройство,,1,0,
gold,0,кастрюля для индукционной плиты,True,53.233,55.707,,кастрюля,,2,2,
gold,0,samsung s 26,True,8.869,11.288,Samsung,,,1,0,
gold,0,наушники razer blackshark v2 x,True,38.878,40.642,Razer,наушники,blackshark v2 x,3,0,
gold,0,Узкие стиральные машины tcl,True,77.911,79.836,TCL,узкая стиральная машина,,2,1,
gold,0,iphone 17 pro max 512gb sim,True,40.281,42.724,Apple,iphone 17pro,17 pro,5,1,
gold,0,наушники для спорта,True,121.537,123.74,,наушники,,2,0,
