class,precision,recall,f1,support
connectivity,1.0,1.0,1.0,35
current,1.0,1.0,1.0,6
frequency,1.0,1.0,1.0,8
power,1.0,1.0,1.0,19
volume,1.0,1.0,1.0,30
time,1.0,1.0,1.0,3
resolution_standard,1.0,1.0,1.0,5
weight,1.0,1.0,1.0,22
voltage,1.0,1.0,1.0,8
color,1.0,0.9915966386554622,0.9957805907172996,119
size,0.9885057471264368,0.9885057471264368,0.9885057471264368,87
memory_storage,0.9655172413793104,1.0,0.9824561403508771,56
UNKNOWN,0.9777777777777777,0.9777777777777777,0.9777777777777777,90
resolution_exact,0.75,0.9,0.8181818181818182,10
dimensions,1.0,0.4,0.5714285714285714,5
