class,precision,recall,f1,support
color,1.0,1.0,1.0,119
connectivity,1.0,1.0,1.0,35
frequency,1.0,1.0,1.0,8
power,1.0,1.0,1.0,19
resolution_standard,1.0,1.0,1.0,5
time,1.0,1.0,1.0,4
size,0.9775280898876404,1.0,0.9886363636363636,87
type,0.9866071428571429,0.9822222222222222,0.9844097995545658,225
volume,1.0,0.9666666666666667,0.9830508474576272,30
memory_storage,0.9818181818181818,0.9818181818181818,0.9818181818181818,55
weight,1.0,0.9090909090909091,0.9523809523809523,22
voltage,0.8888888888888888,1.0,0.9411764705882353,8
UNKNOWN,0.9183673469387755,0.9440559440559441,0.9310344827586207,143
current,0.8571428571428571,1.0,0.9230769230769231,6
resolution_exact,0.8181818181818182,0.9,0.8571428571428571,10
purpose,0.9090909090909091,0.7142857142857143,0.8,14
dimensions,1.0,0.6,0.75,5
