query_norm,query_raw,brand,click_brand,label_id,label_reason,confidence,sample_weight,n_clicks,n_brands,brand_in_query,has_alias,is_category_only,tier,runner_up,weight_margin
samsung смартфон galaxy a36 5 g ростест eac 8 128 гб серый металлик,"Samsung Смартфон Galaxy A36 5G Ростест (EAC) 8/128 ГБ, серый металлик",Samsung,Samsung,52,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
телефон айфон 16 про макс 512 гб,телефон айфон 16 про макс 512 гб,Apple,Apple,2,alias_hint,1.0,1.0,5,1,True,True,False,high,,1.0
аккумулятор,аккумулятор,NO_BRAND,Aukey,65,category_only,0.30810624206984893,1.0,8,6,False,False,True,special,GP,0.0
apple iphone 16 e 128 gb nano sim esim black черный,Apple iPhone 16e 128Gb nano SIM   eSim black (черный),Apple,Apple,2,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
sven sps 725,sven sps 725,UNKNOWN,Sven,66,ood_brand_surface,1.0,0.9,1,1,True,False,False,special,,1.0
блок apple зарядный,блок apple зарядный,Apple,Apple,2,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
raskat standart500 105303,raskat standart500 105303,UNKNOWN,Raskat,66,ood_brand_surface,1.0,0.9,1,1,True,False,False,special,,1.0
айфон 17 по макс,Айфон 17 по макс,Apple,Apple,2,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
xiaomi sound outdoor,xiaomi sound outdoor,Xiaomi,Xiaomi,62,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
смартфоны samsung s25 plus,смартфоны samsung s25 plus,Samsung,Samsung,52,alias_hint,1.0,1.0,6,1,True,True,False,high,,1.0
наушники xbox,наушники xbox,UNKNOWN,Xbox,66,ood_brand_surface,1.0,0.9,1,1,True,False,False,special,,1.0
сковорода гриль,сковорода гриль,NO_BRAND,Davr Metall,65,category_only,0.3295380017540656,1.0,9,7,False,False,True,special,Tefal,0.020596125109629094
xiaomi телевизор tv a 50 2026 50 4 k uhd,"Xiaomi Телевизор TV A 50 2026 50"" 4K UHD",Xiaomi,Xiaomi,62,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
котел газовый двухконтурный navien,котел газовый двухконтурный navien,UNKNOWN,Navien,66,ood_brand_surface,1.0,0.9,1,1,True,False,False,special,,1.0
шуруповерт аккумуляторный вихрь,шуруповерт аккумуляторный вихрь,NO_BRAND,Вихрь,65,category_only,1.0,1.0,1,1,True,False,True,special,,1.0
вок tefal,вок tefal,Tefal,Tefal,59,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
samsung eo ic100bbegru,Samsung EO-IC100BBEGRU,Samsung,Samsung,52,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
huawei matoad 1.5 2025 tx2-w09 8 128 wifi inbox keyboard gray,HUAWEI Matoad 1.5 2025 TX2-W09 8+128 WiFi inbox Keyboard Gray,HUAWEI,HUAWEI,26,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
жарочный шкаф встроенный,жарочный шкаф встроенный,NO_BRAND,BROOX,65,category_only,1.0,1.0,1,1,False,False,True,special,,1.0
измельчитель кухонный,измельчитель кухонный,NO_BRAND,DUMONT,65,category_only,0.1513352298156719,1.0,87,30,False,False,True,special,Uyut market,0.046779732369130134
thunderobot клавиатура,thunderobot клавиатура,Thunderobot,Thunderobot,60,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
dreame g10 combo,dreame g10 combo,Dreame,Dreame,19,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
триммер садовый oasis,триммер садовый oasis,NO_BRAND,Oasis,65,category_only,1.0,1.0,1,1,True,False,True,special,,1.0
холодильники gorenje nrk41814w4 i,холодильники gorenje nrk41814w4i,Gorenje,Gorenje,23,brand_in_query,1.0,1.0,2,1,True,False,False,high,,1.0
haier 14979,haier 14979,Haier,Haier,27,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
honor pad v9,honor pad v9,HONOR,HONOR,25,alias_hint,1.0,1.0,2,1,True,True,False,high,,1.0
смартфоны samsung самсунг с26 ultra 512 gb,смартфоны samsung самсунг с26 ultra 512gb,Samsung,Samsung,52,alias_hint,1.0,1.0,4,1,True,True,False,high,,1.0
посудомойка kuppersberg 6036,посудомойка kuppersberg 6036,Kuppersberg,Kuppersberg,37,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
cadena сплит система,Cadena сплит система,NO_BRAND,Cadena,65,category_only,1.0,1.0,1,1,True,False,True,special,,1.0
кофе,кофе,NO_BRAND,MONARCH,65,category_only,0.35090516627526763,1.0,90,27,False,False,True,special,DeLonghi,0.15326415338242516
телевизоры lg 75 oled smart tv,телевизоры LG  75 oled smart tv,LG,LG,38,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
xолодильник с морозильником indesit ds 3160 w белый,Холодильник с морозильником   Indesit DS 3160 W белый,Indesit,Indesit,30,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
midea min67880 f,midea min67880f,Midea,Midea,42,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
сплит система candy,сплит система candy,NO_BRAND,Candy,65,category_only,1.0,1.0,2,1,True,False,True,special,,1.0
dyson v10,dyson v10,Dyson,Dyson,20,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
aeronik asi-07ilk4,AERONIK ASI-07ILK4,UNKNOWN,Aeronik,66,ood_brand_surface,1.0,0.9,1,1,True,False,False,special,,1.0
утюг polaris pir 2820 ak,Утюг Polaris PIR 2820AK,Polaris,Polaris,48,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
infinix gt 50,infinix gt 50,Infinix,Infinix,31,brand_in_query,1.0,1.0,3,1,True,False,False,high,,1.0
lg f2y1ns6 w,LG F2Y1NS6W,LG,LG,38,brand_in_query,1.0,1.0,5,1,True,False,False,high,,1.0
xiaomi l43 mp apru,Хiaomi l43mp apru,Xiaomi,Xiaomi,62,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
ip камера xiaomi,ip камера xiaomi,Xiaomi,Xiaomi,62,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
iphone 17 pro 256 silver sim esim,iphone 17 pro 256 silver sim esim,Apple,Apple,2,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
накопительные водонагреватели 30 л ariston,накопительные водонагреватели 30л ariston,Ariston,Ariston,3,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
робот пылесос xiaomi robot vacuum s40 eu белый,робот пылесос xiaomi robot vacuum s40 eu белый,Xiaomi,Xiaomi,62,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
беспроводные наушники sony xm6,беспроводные наушники sony xm6,Sony,Sony,55,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
gorenje gi6401 bsce,GORENJE GI6401BSCE,Gorenje,Gorenje,23,brand_in_query,1.0,1.0,2,1,True,False,False,high,,1.0
apple watch 11 46 mm ml,apple watch 11 46mm ml,Apple,Apple,2,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
электрические чайники philips circle,электрические чайники Philips circle,Philips,Philips,46,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
умные часы samsung galaxy watch ultra,умные часы samsung galaxy watch ultra,Samsung,Samsung,52,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
сплит система инверторная ballu 9,Сплит система инверторная ballu 9,Ballu,Ballu,6,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
нтбук honor,нтбук honor,HONOR,HONOR,25,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
smart-монитор samsung s24am506 ni,Smart-монитор Samsung S24AM506NI,Samsung,Samsung,52,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
стиральная машинка грундик,стиральная машинка грундик,NO_BRAND,Grundig,65,category_only,1.0,1.0,1,1,False,False,True,special,,1.0
аско сушильная машина,аско сушильная машина,NO_BRAND,Asko,65,category_only,1.0,1.0,1,1,False,False,True,special,,1.0
samsung bud,samsung bud,Samsung,SAMSUNG,52,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
газонокосилка электрическая elm- 2055 т huter,Газонокосилка электрическая ELM- 2055Т Huter,UNKNOWN,Huter,66,ood_brand_surface,1.0,0.9,1,1,True,False,False,special,,1.0
электрическая пила,электрическая пила,NO_BRAND,BRAIT,65,category_only,1.0,1.0,1,1,False,False,True,special,,1.0
телевизор яндекс тв станция с алисой,телевизор яндекс тв станция с алисой,Яндекс,Яндекс,64,brand_in_query,1.0,1.0,29,1,True,False,False,high,,1.0
духовой шкаф asko ot66 gsh,Духовой шкаф ASKO OT66GSH,UNKNOWN,Asko,66,ood_brand_surface,1.0,0.9,1,1,True,False,False,special,,1.0
фен щетка bellissima,фен щетка bellissima,NO_BRAND,Bellissima,65,category_only,1.0,1.0,1,1,True,False,True,special,,1.0
блендер стационарный каррера,блендер стационарный каррера,NO_BRAND,Carrera,65,category_only,1.0,1.0,1,1,False,False,True,special,,1.0
atlant cma 80c1214-c-01,ATLANT CMA 80C1214-C-01,ATLANT,ATLANT,1,brand_in_query,1.0,1.0,2,1,True,False,False,high,,1.0
galaxy watch 9,galaxy watch 9,Samsung,Samsung,52,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
робот пылисос,Робот пылисос,NO_BRAND,Tefal,65,category_only,1.0,1.0,1,1,False,False,True,special,,1.0
xiaomi mi box s 3,xiaomi mi box s 3,Xiaomi,Xiaomi,62,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
аэрогриль demiand dk-5200 черный,Аэрогриль DEMIAND DK-5200 черный,DEMIAND,DEMIAND,16,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
xолодильник арктика,Холодильник арктика,UNKNOWN,Арктика,66,ood_brand_surface,1.0,0.9,1,1,True,False,False,special,,1.0
наушники huawei freebuds 7 i,наушники huawei freebuds 7i,HUAWEI,HUAWEI,26,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
iphone 15 pro max 256 гб восстановленный,iphone 15 pro max 256 гб восстановленный,Apple,Apple,2,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
телевизор sber smart 7000,телевизор Sber smart 7000,Sber,Sber,53,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
газовая плита,газовая плита,NO_BRAND,Gefest,65,category_only,0.3437910477783879,1.0,760,24,False,False,True,special,Flama,0.07226273802034022
samsung s26 ultra 7 2,"samsung s26 ultra 7,2 ‘",Samsung,Samsung,52,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
msi vector,msi vector,MSI,MSI,40,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
планшеты huawei,планшеты huawei,HUAWEI,HUAWEI,26,alias_hint,1.0,1.0,2,1,True,True,False,high,,1.0
наушники jbl 720 bt,наушники jbl 720bt,JBL,JBL,32,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
кофемашина delonghi ecam 380.95 13 степеней помола сенсорное управление,"Кофемашина Delonghi ECAM 380.95, 13 степеней помола, сенсорное управление",DeLonghi,DeLonghi,17,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
яндекс ты станция про 55,Яндекс ты станция про 55,Яндекс,Яндекс,64,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
apple watch востановленный,apple watch востановленный,Apple,Apple,2,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
iphone хр,iphone хр,Apple,Apple,2,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
65 164 см телевизор hisense 65e8 s,"65"" (164 см) Телевизор Hisense 65E8S",Hisense,Hisense,29,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
системный блок для компьютера,системный блок  для компьютера,NO_BRAND,Robotcomp,65,category_only,1.0,1.0,1,1,False,False,True,special,,1.0
candy csh41273 dw 2,Candy CSH41273DW/2,Candy,Candy,12,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
блока питания пк deepcool,блока питания пк deepcool,UNKNOWN,DeepCool,66,ood_brand_surface,1.0,0.9,1,1,True,False,False,special,,1.0
13 планшет apple ipad pro m5 5 g 512 гб черный,"13"" Планшет Apple iPad Pro (M5) 5G 512 ГБ черный",Apple,Apple,2,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
asus tuf f16,asus tuf f16,ASUS,ASUS,0,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
samsung galaxy tab s 10 lite 5 g,samsung galaxy tab s 10 lite 5g,Samsung,Samsung,52,alias_hint,1.0,1.0,2,1,True,True,False,high,,1.0
фен для волос polaris,фен для волос polaris,Polaris,Polaris,48,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
вентилятор колонный kitfort,вентилятор колонный kitfort,Kitfort,Stadler Form,35,alias_hint,1.0,1.0,1,1,False,True,False,high,,1.0
poco m6 ro,poco m6ro,Xiaomi,POCO,62,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
honor pad x9 a 6 128,honor pad x9a 6 128,HONOR,HONOR,25,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
колонка портативная маршал,Колонка портативная маршал,NO_BRAND,Marshall,65,category_only,1.0,1.0,1,1,False,False,True,special,,1.0
стиральная машинка с вертикальной загрузкой haier,стиральная машинка с вертикальной загрузкой haier,Haier,Haier,27,alias_hint,0.958904109589041,0.958904109589041,3,2,True,True,False,high,Maunfeld,0.9178082191780821
наушники apple airpods pro 2,наушники apple airpods pro 2,Apple,Apple,2,alias_hint,1.0,1.0,5,1,True,True,False,high,,1.0
мобильный телефон складной,мобильный телефон складной,NO_BRAND,HUAWEI,65,category_only,1.0,1.0,1,1,False,False,True,special,,1.0
haier 43 led s2,haier 43 led s2,Haier,Haier,27,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
погружной блендер tefal prepline hb64f810,погружной блендер tefal prepline hb64f810,Tefal,Tefal,59,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
планшет huawei matepad 11 5 256 гб,планшет huawei matepad 11 5 256гб,HUAWEI,HUAWEI,26,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
jbl tune 770 nc,jbl tune 770nc,JBL,JBL,32,brand_in_query,1.0,1.0,11,1,True,False,False,high,,1.0
moulinex prepmix hm450b10,moulinex prepmix  hm450b10,Moulinex,Moulinex,43,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
обогреватель zanussi,обогреватель zanussi,UNKNOWN,Zanussi,66,ood_brand_surface,1.0,0.9,1,1,True,False,False,special,,1.0
картридж к фильтру барьер,картридж к фильтру барьер,UNKNOWN,Барьер,66,ood_brand_surface,1.0,0.9,1,1,True,False,False,special,,1.0
айфоны 16 про макс,Айфоны 16 про макс,Apple,Apple,2,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
планшет для детей,планшет для детей,NO_BRAND,HONOR,65,category_only,0.5,1.0,2,2,False,False,True,special,HUAWEI,0.0
вертикальный морозильник мини,вертикальный морозильник мини,NO_BRAND,Weissgauff,65,category_only,0.9090909090909091,1.0,3,2,False,False,True,special,Nord,0.8181818181818182
телефон samsung с 25,телефон samsung с 25,Samsung,Samsung,52,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
hisense телевизор 32e55 sl,Hisense Телевизор 32E55SL,Hisense,Hisense,29,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
sber тв,sber тв,Sber,Sber,53,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
микроволновая самсунг,Микроволновая самсунг,Samsung,Samsung,52,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
samsung silicone magnet case galaxy s26,"SAMSUNG Silicone Magnet Case Galaxy S26,",Samsung,SAMSUNG,52,alias_hint,0.5333333333333333,0.5333333333333333,2,2,True,True,False,low,Samsung,0.06666666666666664
мульти-стайлер dyson airwrap hs08,Мульти-стайлер dyson airwrap  hs08,Dyson,Dyson,20,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
midea md200d90 wb s ru,Midea MD200D90WB/S-RU,Midea,Midea,42,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
samsung galaxy,samsung galaxy,Samsung,Samsung,52,alias_hint,0.9841005192849281,0.9841005192849281,39,2,True,True,False,high,SAMSUNG,0.9682010385698562
philips lumea1997,philips lumea1997,Philips,Philips,46,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
чехол айфон 17 про макс,Чехол айфон 17 про Макс,Apple,Apple,2,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
midea mf200w80 wbs w ru,"Midea MF200W80WBS/W-RU,",Midea,Midea,42,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
смартфоны huawei pura 70 pro,смартфоны huawei pura 70 pro,HUAWEI,HUAWEI,26,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
хонор 8 д,хонор 8д,HONOR,HONOR,25,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
смартфоны samsung a 16,смартфоны samsung a 16,Samsung,Samsung,52,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0
яндекс е14,Яндекс е14,Яндекс,Яндекс,64,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0
