class,precision,recall,f1,support
PlayStation,1.0,0.5,0.6666666666666666,4
Grundig,0.8333333333333334,0.7142857142857143,0.7692307692307693,7
Electrolux,0.75,0.9,0.8181818181818182,20
Rapid,0.7142857142857143,1.0,0.8333333333333334,5
TalleR,0.8333333333333334,0.8333333333333334,0.8333333333333334,6
Oasis,1.0,0.75,0.8571428571428571,4
Candy,0.8709677419354839,0.84375,0.8571428571428571,32
Centek,1.0,0.75,0.8571428571428571,12
NO_BRAND,0.8694929343308395,0.8894557823129252,0.8793610760823876,1176
UNKNOWN,0.9407407407407408,0.8260162601626017,0.8796536796536797,615
Ballu,0.9166666666666666,0.8461538461538461,0.88,13
Sber,0.9285714285714286,0.8666666666666667,0.896551724137931,15
Kuppersberg,0.813953488372093,1.0,0.8974358974358975,35
Beko,0.8918918918918919,0.9166666666666666,0.9041095890410958,36
Logitech,0.8611111111111112,0.96875,0.9117647058823529,32
Midea,0.8867924528301887,0.94,0.912621359223301,50
Bosch,0.9215686274509803,0.9038461538461539,0.912621359223301,52
Gorenje,0.875,0.9545454545454546,0.9130434782608695,88
Krona,1.0,0.8461538461538461,0.9166666666666666,13
Redmond,1.0,0.85,0.918918918918919,20
Hi,1.0,0.8571428571428571,0.9230769230769231,21
Maunfeld,0.9047619047619048,0.95,0.926829268292683,20
Sony,0.9130434782608695,0.9545454545454546,0.9333333333333333,44
Dyson,0.9333333333333333,0.9333333333333333,0.9333333333333333,30
Kingston,0.875,1.0,0.9333333333333333,7
Gefest,0.92,0.9583333333333334,0.9387755102040817,24
Carrera,0.9583333333333334,0.92,0.9387755102040817,25
JBL,0.9032258064516129,0.9824561403508771,0.9411764705882353,57
Dreame,0.8961038961038961,1.0,0.9452054794520548,69
Pantum,1.0,0.9,0.9473684210526315,10
ATLANT,0.9090909090909091,1.0,0.9523809523809523,10
Hisense,0.9523809523809523,0.9523809523809523,0.9523809523809523,84
Philips,0.9534883720930233,0.9534883720930233,0.9534883720930233,43
LG,0.9587628865979382,0.9489795918367347,0.9538461538461539,98
MSI,0.9393939393939394,0.96875,0.9538461538461539,32
Indesit,0.9166666666666666,1.0,0.9565217391304348,33
Яндекс,0.9302325581395349,0.9876543209876543,0.9580838323353293,81
Deppa,0.9230769230769231,1.0,0.96,12
Baseus,0.96,0.96,0.96,25
DEMIAND,1.0,0.9285714285714286,0.9629629629629629,14
Polaris,0.9310344827586207,1.0,0.9642857142857143,27
Tefal,0.95,0.979381443298969,0.9644670050761421,97
Rowenta,0.9375,1.0,0.967741935483871,15
Karcher,0.95,1.0,0.9743589743589743,19
realme,0.95,1.0,0.9743589743589743,38
TCL,0.9649122807017544,1.0,0.9821428571428571,55
Toshiba,1.0,0.9666666666666667,0.9830508474576272,30
Braun,0.9722222222222222,1.0,0.9859154929577465,35
Kitfort,1.0,0.975,0.9873417721518988,40
ASUS,1.0,0.987012987012987,0.9934640522875817,77
Apple,0.9884169884169884,1.0,0.9941747572815534,512
Xiaomi,1.0,0.9946666666666667,0.9973262032085561,375
Haier,1.0,0.9950980392156863,0.9975429975429976,204
Atvel,1.0,1.0,1.0,7
Infinix,1.0,1.0,1.0,23
DeLonghi,1.0,1.0,1.0,31
Ariston,1.0,1.0,1.0,7
HUAWEI,1.0,1.0,1.0,255
HONOR,1.0,1.0,1.0,141
Moulinex,1.0,1.0,1.0,12
Scarlett,1.0,1.0,1.0,4
BQ,1.0,1.0,1.0,6
Brayer,1.0,1.0,1.0,11
Canon,1.0,1.0,1.0,26
Thunderobot,1.0,1.0,1.0,14
Tecno,1.0,1.0,1.0,35
Samsung,1.0,1.0,1.0,647
