class,precision,recall,f1,support
Oasis,1.0,0.25,0.4,4
TalleR,0.75,0.5,0.6,6
PlayStation,1.0,0.5,0.6666666666666666,4
Kingston,0.8333333333333334,0.7142857142857143,0.7692307692307693,7
BQ,1.0,0.6666666666666666,0.8,6
Ballu,1.0,0.6923076923076923,0.8181818181818182,13
Ariston,1.0,0.7142857142857143,0.8333333333333334,7
Atvel,1.0,0.7142857142857143,0.8333333333333334,7
Grundig,1.0,0.7142857142857143,0.8333333333333334,7
Electrolux,0.782608695652174,0.9,0.8372093023255814,20
UNKNOWN,0.9080882352941176,0.8032520325203252,0.8524590163934426,615
Candy,0.8709677419354839,0.84375,0.8571428571428571,32
Bosch,0.9130434782608695,0.8076923076923077,0.8571428571428571,52
Centek,1.0,0.75,0.8571428571428571,12
NO_BRAND,0.8259518259518259,0.9039115646258503,0.8631749898497767,1176
Krona,1.0,0.7692307692307693,0.8695652173913043,13
Midea,0.8979591836734694,0.88,0.8888888888888888,50
Redmond,1.0,0.8,0.8888888888888888,20
Pantum,1.0,0.8,0.8888888888888888,10
Rapid,1.0,0.8,0.8888888888888888,5
Kuppersberg,0.8461538461538461,0.9428571428571428,0.8918918918918919,35
Hi,1.0,0.8095238095238095,0.8947368421052632,21
Maunfeld,0.9,0.9,0.9,20
Beko,0.8918918918918919,0.9166666666666666,0.9041095890410958,36
Moulinex,1.0,0.8333333333333334,0.9090909090909091,12
Logitech,0.8611111111111112,0.96875,0.9117647058823529,32
Gorenje,0.8829787234042553,0.9431818181818182,0.9120879120879121,88
Gefest,0.9166666666666666,0.9166666666666666,0.9166666666666666,24
Sony,0.9111111111111111,0.9318181818181818,0.9213483146067416,44
Sber,1.0,0.8666666666666667,0.9285714285714286,15
JBL,0.9152542372881356,0.9473684210526315,0.9310344827586207,57
MSI,0.9666666666666667,0.90625,0.9354838709677419,32
Carrera,1.0,0.88,0.9361702127659575,25
Dreame,0.8947368421052632,0.9855072463768116,0.9379310344827586,69
Яндекс,0.9176470588235294,0.9629629629629629,0.9397590361445783,81
Indesit,0.8918918918918919,1.0,0.9428571428571428,33
Tefal,0.9479166666666666,0.9381443298969072,0.9430051813471503,97
Polaris,0.9285714285714286,0.9629629629629629,0.9454545454545454,27
Dyson,1.0,0.9,0.9473684210526315,30
Kitfort,1.0,0.9,0.9473684210526315,40
LG,0.9583333333333334,0.9387755102040817,0.9484536082474226,98
Philips,0.9534883720930233,0.9534883720930233,0.9534883720930233,43
Deppa,1.0,0.9166666666666666,0.9565217391304348,12
Baseus,0.9259259259259259,1.0,0.9615384615384616,25
DEMIAND,1.0,0.9285714285714286,0.9629629629629629,14
Hisense,0.975609756097561,0.9523809523809523,0.963855421686747,84
Rowenta,0.9375,1.0,0.967741935483871,15
DeLonghi,0.967741935483871,0.967741935483871,0.967741935483871,31
Braun,0.9714285714285714,0.9714285714285714,0.9714285714285714,35
TCL,0.9642857142857143,0.9818181818181818,0.972972972972973,55
Karcher,1.0,0.9473684210526315,0.972972972972973,19
Infinix,1.0,0.9565217391304348,0.9777777777777777,23
ASUS,1.0,0.961038961038961,0.9801324503311258,77
Canon,1.0,0.9615384615384616,0.9803921568627451,26
Toshiba,1.0,0.9666666666666667,0.9830508474576272,30
realme,0.9743589743589743,1.0,0.987012987012987,38
Haier,1.0,0.9803921568627451,0.9900990099009901,204
Apple,0.9883720930232558,0.99609375,0.9922178988326849,512
Xiaomi,1.0,0.9866666666666667,0.9932885906040269,375
HONOR,1.0,0.9929078014184397,0.99644128113879,141
Samsung,1.0,0.9984544049459042,0.9992266047950503,647
HUAWEI,1.0,1.0,1.0,255
ATLANT,1.0,1.0,1.0,10
Brayer,1.0,1.0,1.0,11
Thunderobot,1.0,1.0,1.0,14
Tecno,1.0,1.0,1.0,35
Scarlett,1.0,1.0,1.0,4
