class,precision,recall,f1,support
PlayStation,0.6,0.75,0.6666666666666666,4
Grundig,0.5833333333333334,1.0,0.7368421052631579,7
Electrolux,0.6451612903225806,1.0,0.7843137254901961,20
Scarlett,0.6666666666666666,1.0,0.8,4
Ballu,0.6842105263157895,1.0,0.8125,13
NO_BRAND,0.9051020408163265,0.7542517006802721,0.8228200371057514,1176
UNKNOWN,0.8344370860927153,0.8195121951219512,0.8269073010664479,615
Rapid,0.7142857142857143,1.0,0.8333333333333334,5
DEMIAND,0.7777777777777778,1.0,0.875,14
Ariston,0.7777777777777778,1.0,0.875,7
Kuppersberg,0.7954545454545454,1.0,0.8860759493670886,35
Bosch,0.8253968253968254,1.0,0.9043478260869565,52
ATLANT,0.8333333333333334,1.0,0.9090909090909091,10
Gorenje,0.8380952380952381,1.0,0.9119170984455959,88
Logitech,0.8421052631578947,1.0,0.9142857142857143,32
Indesit,0.8461538461538461,1.0,0.9166666666666666,33
TalleR,0.8571428571428571,1.0,0.9230769230769231,6
Beko,0.8571428571428571,1.0,0.9230769230769231,36
Deppa,0.8571428571428571,1.0,0.9230769230769231,12
Midea,0.8620689655172413,1.0,0.9259259259259259,50
Carrera,0.8620689655172413,1.0,0.9259259259259259,25
Candy,0.8648648648648649,1.0,0.927536231884058,32
Polaris,0.8709677419354839,1.0,0.9310344827586207,27
Kingston,0.875,1.0,0.9333333333333333,7
JBL,0.8769230769230769,1.0,0.9344262295081968,57
Dyson,0.8823529411764706,1.0,0.9375,30
Hisense,0.8842105263157894,1.0,0.9385474860335196,84
Dreame,0.8846153846153846,1.0,0.9387755102040817,69
Gefest,0.8888888888888888,1.0,0.9411764705882353,24
Baseus,0.8928571428571429,1.0,0.9433962264150944,25
Sony,0.9148936170212766,0.9772727272727273,0.945054945054945,44
Redmond,0.9090909090909091,1.0,0.9523809523809523,20
Maunfeld,0.9090909090909091,1.0,0.9523809523809523,20
Яндекс,0.9101123595505618,1.0,0.9529411764705882,81
Hi,0.9130434782608695,1.0,0.9545454545454546,21
MSI,0.9142857142857143,1.0,0.9552238805970149,32
Moulinex,0.9230769230769231,1.0,0.96,12
Centek,0.9230769230769231,1.0,0.96,12
Krona,0.9285714285714286,1.0,0.9629629629629629,13
Thunderobot,0.9333333333333333,1.0,0.9655172413793104,14
Philips,0.9347826086956522,1.0,0.9662921348314607,43
Toshiba,0.9666666666666667,0.9666666666666667,0.9666666666666667,30
Sber,0.9375,1.0,0.967741935483871,15
Rowenta,0.9375,1.0,0.967741935483871,15
DeLonghi,0.9393939393939394,1.0,0.96875,31
Tefal,0.941747572815534,1.0,0.97,97
LG,0.9423076923076923,1.0,0.9702970297029703,98
Braun,0.9459459459459459,1.0,0.9722222222222222,35
TCL,0.9482758620689655,1.0,0.9734513274336283,55
realme,0.95,1.0,0.9743589743589743,38
Karcher,0.95,1.0,0.9743589743589743,19
ASUS,0.9506172839506173,1.0,0.9746835443037974,77
Kitfort,1.0,0.975,0.9873417721518988,40
Haier,0.9950248756218906,0.9803921568627451,0.9876543209876543,204
Apple,0.9826589595375722,0.99609375,0.9893307468477207,512
Xiaomi,1.0,0.9893333333333333,0.9946380697050938,375
Samsung,0.9984544049459042,0.9984544049459042,0.9984544049459042,647
Infinix,1.0,1.0,1.0,23
HONOR,1.0,1.0,1.0,141
Canon,1.0,1.0,1.0,26
Atvel,1.0,1.0,1.0,7
HUAWEI,1.0,1.0,1.0,255
Brayer,1.0,1.0,1.0,11
BQ,1.0,1.0,1.0,6
Tecno,1.0,1.0,1.0,35
Oasis,1.0,1.0,1.0,4
Pantum,1.0,1.0,1.0,10
